Timestamp,Pressure (hPa),Lat,Long,
15:59:30,1012.08046,-6.781019093,39.22317851,
15:59:31,1012.079239,-6.781020932,39.22317513,
15:59:32,1012.077179,-6.78102173,39.22316853,
15:59:33,1012.076721,-6.781021514,39.2231608,
15:59:34,1012.07634,-6.781019467,39.22316425,
15:59:35,1012.0755,-6.781013348,39.2231803,
15:59:36,1012.074966,-6.781013348,39.2231803,
15:59:37,1012.074966,-6.781013348,39.2231803,
15:59:38,1012.076874,-6.781013348,39.2231803,
15:59:39,1012.077332,-6.781013348,39.2231803,
15:59:40,1012.077484,-6.781013348,39.2231803,
15:59:41,1012.079239,-6.781013348,39.2231803,
15:59:42,1012.079239,-6.781013348,39.2231803,
15:59:43,1012.078934,-6.781013348,39.2231803,
15:59:44,1012.078934,-6.781013348,39.2231803,
15:59:45,1012.078934,-6.780994197,39.22317855,
15:59:46,1012.078247,-6.780983513,39.22318084,
15:59:47,1012.077255,-6.780989919,39.22319406,
15:59:48,1012.077026,-6.780983311,39.22320031,
15:59:49,1012.076111,-6.78096503,39.22321113,
15:59:50,1012.073593,-6.780959324,39.22321474,
15:59:51,1012.073593,-6.780965858,39.22321681,
15:59:52,1012.074127,-6.780972335,39.22320463,
15:59:53,1012.076416,-6.780974216,39.22320891,
15:59:54,1012.078934,-6.780980693,39.22319582,
15:59:55,1012.081146,-6.78098674,39.22319706,
15:59:56,1012.081375,-6.780984146,39.22319266,
15:59:57,1012.083511,-6.780989994,39.22319399,
15:59:58,1012.083511,-6.780992393,39.22319172,
15:59:59,1012.083435,-6.780999773,39.22318474,
16:00:00,1012.083435,-6.781002947,39.22318174,
16:00:01,1012.083435,-6.781010343,39.22317474,
16:00:02,1012.083588,-6.781010343,39.22317474,
16:00:03,1012.083435,-6.781010343,39.22317474,
16:00:04,1012.083282,-6.781063323,39.22315475,
16:00:05,1012.082825,-6.78106028,39.22315857,
16:00:06,1012.082825,-6.781057943,39.22316149,
16:00:07,1012.083588,-6.78105457,39.22316602,
16:00:08,1012.085953,-6.781051945,39.22317082,
16:00:09,1012.086868,-6.781048725,39.22317369,
16:00:10,1012.090225,-6.781041421,39.22318233,
16:00:11,1012.092896,-6.781038885,39.22318367,
16:00:12,1012.095413,-6.781038885,39.22318367,
16:00:13,1012.097168,-6.781038885,39.22318367,
16:00:14,1012.099533,-6.781038885,39.22318367,
16:00:15,1012.099762,-6.781014367,39.2232019,
16:00:16,1012.099762,-6.781014367,39.2232019,
16:00:17,1012.099075,-6.781008094,39.22319642,
16:00:18,1012.098846,-6.781009419,39.22319189,
16:00:19,1012.091141,-6.781009419,39.22319189,
16:00:20,1012.085495,-6.781006401,39.22319401,
16:00:21,1012.07901,-6.781003643,39.2231855,
16:00:22,1012.075806,-6.78099226,39.22317866,
16:00:23,1012.070084,-6.780962253,39.22319916,
16:00:24,1012.070084,-6.780877972,39.2232791,
16:00:25,1012.075348,-6.780904,39.22328819,
16:00:26,1012.078857,-6.780880008,39.22331664,
16:00:27,1012.079239,-6.780824326,39.22336631,
16:00:28,1012.080688,-6.780789861,39.22341497,
16:00:29,1012.080688,-6.780759197,39.22345601,
16:00:30,1012.07962,-6.780725126,39.22350879,
16:00:31,1012.077637,-6.780689081,39.22357204,
16:00:32,1012.0755,-6.780645911,39.22364228,
16:00:33,1012.072754,-6.780575417,39.22370478,
16:00:34,1012.072754,-6.780533975,39.22377676,
16:00:35,1012.078934,-6.780491013,39.22384822,
16:00:36,1012.082138,-6.780445608,39.22392531,
16:00:37,1012.085876,-6.780399297,39.22400463,
16:00:38,1012.093811,-6.780356248,39.22408815,
